Food,Energy,Water,Fiber,Fat,Protein,Sugar
Substance =100 g,Kj/Kcal,%,G,G,G,G
Apple Golden,207/95,84,2.3,0,0.4,11.8
Apple Granny Smith,207/49,84,2.3,0,0.4,11.8
Apple Red,207/95,84,2.3,0,0.4,11.8
Avocado,523/126,81,0.2,10,2,7
Banana,375/88,76,2.7,0,1.2,20.4
Blueberry,240/57,84,2.4,0.3,0.7,9.96
Cocos,1482/354,82,8.75,33,3.3,15
Grape White,274/64,83,2.2,0,0.6,15.5
Grape pink,274/64,83,2.2,0,0.6,15.5
Kiwi,168/40,84,2.1,0,1.1,8.8
Lemon,121/29,88,2.8,0.3,1.1,2.5
Mango,255/60,84,1,0,0,15
Melon Piel de Sapo,143/34,80,0.6,0.2,0.8,6.6
Orange,198/47,87,1.8,0,1,10.6
Papaya,136/32,91,0.6,0,0,8
Pineapple,211/50,84,1.2,0,0.4,12
Pomegranate,343/86,82,3.4,0,1,17
Strawberry,99/23,91,2.2,0,0.7,5.1
Watermelon,127/30,91.45,0.4,0.15,0.61,6.2
